Pizza Prepare Time: 1.383334
Pizza Prepare Time: 1.316683
Highway ride time: 6.483496
Highway ride time: 2.483384
Highway ride time: 0.4999709
Pizza Prepare Time: 0.7499985
Pizza Prepare Time: 0.7499968
Highway ride time: 4.716726
Delivery Time: 11.06693
Highway ride time: 1.350013
Delivery Time: 11.06693
Highway ride time: 2.683408
Highway ride time: 1.716734
Pizza Prepare Time: 1.500015
Pizza Prepare Time: 0.7500142
Highway ride time: 1.333327
Highway ride time: 0.7166901
Delivery Time: 4.550117
Highway ride time: 1.266676
Delivery Time: 4.550117
Highway ride time: 1.766698
Pizza Prepare Time: 1.050044
Highway ride time: 2.233385
Pizza Prepare Time: 1.016681
Delivery Time: 3.350044
Delivery Time: 3.350044
Highway ride time: 5.500103
Pizza Prepare Time: 0.9834053
Highway ride time: 2.633393
Pizza Prepare Time: 0.9666412
Delivery Time: 5.516781
Delivery Time: 5.516781
Highway ride time: 2.100067
Highway ride time: 0.5666797
Pizza Prepare Time: 1.36669
Pizza Prepare Time: 0.9000012
Highway ride time: 3.200102
Delivery Time: 5.483471
Highway ride time: 1.816679
Highway ride time: 2.216691
Delivery Time: 4.533422
Highway ride time: 1.400004
Pizza Prepare Time: 0.8667099
Pizza Prepare Time: 0.7500207
Highway ride time: 2.183416
Delivery Time: 4.766795
Highway ride time: 1.633407
Highway ride time: 0.4999945
Delivery Time: 4.750095
Delivery Time: 4.750095
Highway ride time: 1.300042
Highway ride time: 1.633318
Delivery Time: 4.750095
Pizza Prepare Time: 0.7166594
Pizza Prepare Time: 0.7999936
Highway ride time: 2.283403
Highway ride time: 0.2000259
Highway ride time: 0.6833236
Highway ride time: 1.1667
Delivery Time: 2.366716
Pizza Prepare Time: 8.700206
Pizza Prepare Time: 0.7499824
Highway ride time: 1.40002
Highway ride time: 4.333408
Highway ride time: 1.083335
Delivery Time: 2.483442
Delivery Time: 2.483442
Delivery Time: 2.483442
Highway ride time: 0.3500039
Pizza Prepare Time: 0.9333965
Pizza Prepare Time: 1.050059
Highway ride time: 2.400047
Total Money: $180
Average of all Delivery Times: 4.87882
