Time in tutorial: 37.79135
Pizza Prepare Time: 1.124022
Pizza Prepare Time: 0.9492319
Highway ride time: 0.2007749
Highway ride time: 1.344327
Delivery Time: 5.256696
Highway ride time: 1.420723
Highway ride time: 1.338659
Pizza Prepare Time: 0.6998366
Highway ride time: 0.2748872
Pizza Prepare Time: 1.353373
Delivery Time: 5.256696
Highway ride time: 1.881038
Pizza Prepare Time: 1.247999
Pizza Prepare Time: 0.647233
Highway ride time: 2.539186
Delivery Time: 4.079358
Delivery Time: 4.079358
Highway ride time: 3.200093
Pizza Prepare Time: 0.9372874
Highway ride time: 1.563565
Pizza Prepare Time: 0.6679268
Delivery Time: 3.359053
Delivery Time: 3.359053
Highway ride time: 0.6600272
Highway ride time: 1.457029
Pizza Prepare Time: 0.7718834
Highway ride time: 1.60117
Pizza Prepare Time: 0.7085835
Delivery Time: 4.25394
Highway ride time: 0.3610433
Highway ride time: 4.118657
Highway ride time: 0.9630155
Delivery Time: 3.581868
Delivery Time: 3.581868
Delivery Time: 3.581868
Highway ride time: 0.8360227
Highway ride time: 0.2199518
Pizza Prepare Time: 1.029652
Highway ride time: 1.139335
Pizza Prepare Time: 0.7439194
Pizza Prepare Time: 1.494958
Pizza Prepare Time: 1.388221
Pizza Prepare Time: 1.123181
Highway ride time: 1.562757
Pizza Prepare Time: 1.133607
Highway ride time: 2.038438
Highway ride time: 2.616954
Highway ride time: 1.203988
Delivery Time: 12.61749
Highway ride time: 0.7984649
Delivery Time: 12.61749
Pizza Prepare Time: 2.222216
Highway ride time: 1.73539
Highway ride time: 1.21973
Pizza Prepare Time: 1.965765
Highway ride time: 2.256126
Pizza Prepare Time: 1.455114
Highway ride time: 2.803909
Highway ride time: 3.00332
Highway ride time: 1.674684
Delivery Time: 13.66564
Delivery Time: 13.66564
Highway ride time: 1.45866
Highway ride time: 1.236938
Highway ride time: 2.342835
Highway ride time: 1.662318
Highway ride time: 2.620467
Highway ride time: 1.498888
Delivery Time: 14.27982
Delivery Time: 14.27982
Highway ride time: 0.1956262
Highway ride time: 0.16329
Average of all Delivery Times: 7.594728
