Time in tutorial: 42.98717
Pizza Prepare Time: 0.7665533
Pizza Prepare Time: 0.6666865
Highway ride time: 3.583661
Pizza Prepare Time: 0.8666847
Pizza Prepare Time: 0.7000226
Highway ride time: 0.5166651
Delivery Time: 8.466785
Highway ride time: 1.333336
Highway ride time: 1.433347
Delivery Time: 8.466785
Highway ride time: 1.183144
Pizza Prepare Time: 1.333163
Pizza Prepare Time: 1.166895
Highway ride time: 1.81664
Delivery Time: 4.133375
Highway ride time: 0.3168819
Highway ride time: 1.133509
Highway ride time: 1.533317
Delivery Time: 3.84999
Delivery Time: 3.84999
Pizza Prepare Time: 1.166818
Pizza Prepare Time: 0.850029
Highway ride time: 1.633509
Highway ride time: 0.8000093
Delivery Time: 2.533165
Delivery Time: 2.533165
Delivery Time: 2.533165
Pizza Prepare Time: 0.833352
Highway ride time: 0.4000258
Pizza Prepare Time: 0.6166863
Pizza Prepare Time: 1.14998
Highway ride time: 2.766666
Pizza Prepare Time: 1.499993
Delivery Time: 4.233162
Delivery Time: 4.233162
Highway ride time: 3.566858
Highway ride time: 0.5166405
Highway ride time: 1.400187
Highway ride time: 1.566613
Delivery Time: 3.799848
Delivery Time: 3.799848
Highway ride time: 0.633342
Highway ride time: 1.483305
Pizza Prepare Time: 1.233237
Pizza Prepare Time: 0.9502598
Pizza Prepare Time: 0.8498276
Highway ride time: 1.416492
Pizza Prepare Time: 0.6833533
Delivery Time: 4.66682
Highway ride time: 0.7165084
Highway ride time: 0.300009
Highway ride time: 1.499908
Highway ride time: 0.5331676
Delivery Time: 2.416686
Delivery Time: 2.416686
Delivery Time: 2.416686
Pizza Prepare Time: 0.633259
Pizza Prepare Time: 0.7333533
Highway ride time: 1.250034
Highway ride time: 1.366634
Delivery Time: 3.783168
Delivery Time: 3.783168
Highway ride time: 0.5500181
Pizza Prepare Time: 1.099998
Pizza Prepare Time: 1.216801
Pizza Prepare Time: 1.00011
Highway ride time: 1.616662
Pizza Prepare Time: 1.299964
Highway ride time: 0.883483
Delivery Time: 7.166749
Highway ride time: 1.216462
Highway ride time: 1.25028
Pizza Prepare Time: 1.35003
Highway ride time: 1.616676
Pizza Prepare Time: 0.9997624
Highway ride time: 0.9666709
Delivery Time: 7.150055
Delivery Time: 7.150055
Highway ride time: 1.166671
Highway ride time: 1.533344
Highway ride time: 1.183301
Highway ride time: 1.549949
Delivery Time: 7.516763
Delivery Time: 7.516763
Delivery Time: 7.516763
Highway ride time: 0.2833108
Highway ride time: 0.3166589
Pizza Prepare Time: 2.016702
Pizza Prepare Time: 0.9833677
Highway ride time: 0.866617
Highway ride time: 0.7333444
Highway ride time: 1.149949
Pizza Prepare Time: 1.300029
Highway ride time: 1.400009
Pizza Prepare Time: 0.9666932
Highway ride time: 0.7666917
Delivery Time: 6.516734
Highway ride time: 0.7666515
Highway ride time: 1.216696
Pizza Prepare Time: 3.449988
Pizza Prepare Time: 1.46666
Highway ride time: 1.533351
Highway ride time: 2.100034
Delivery Time: 8.150071
Highway ride time: 1.316715
Delivery Time: 8.150071
Delivery Time: 8.150071
Highway ride time: 0.833198
Highway ride time: 1.500018
Highway ride time: 1.50022
Pizza Prepare Time: 1.133095
Highway ride time: 1.749899
Delivery Time: 6.733182
Pizza Prepare Time: 0.8501675
Highway ride time: 0.5666626
Highway ride time: 1.883573
Highway ride time: 2.700036
Highway ride time: 0.9166848
Delivery Time: 6.733182
Pizza Prepare Time: 1.616662
Highway ride time: 2.150033
Highway ride time: 2.750069
Highway ride time: 1.550165
Average of all Delivery Times: 5.345537
Average of all Pizza Preparing Times: 1.134854
Average of all Highway Rides: 1.507166
Level 0 money was: 180
